FIPS,Incidence_Rate,Avg_Ann_Incidence,Recent Trend,StateFIPS,Mortality_Rate,Avg_Ann_Deaths,State,AreaName,All_Poverty,M_Poverty,F_Poverty,Med_Income,M_With,M_Without,F_With,F_Without,All_With,All_Without,POPESTIMATE2015
01093,74.2,33,stable,01,51.7,23,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01095,79.4,90,stable,01,66.6,75,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01097,75.4,347,stable,01,63.3,289,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01099,62.3,19,stable,01,52.9,16,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01101,61,144,falling,01,49.9,117,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01103,80.4,116,stable,01,60.5,88,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01105,83.1,11,stable,01,60.3,8,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01107,65.6,18,stable,01,57.5,16,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01109,61.8,22,stable,01,47.2,16,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01111,75.5,24,stable,01,58.5,18,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
