StateFIPS,B27001_004,B27001_005,B27001_007,B27001_008,B27001_010,B27001_011,B27001_013,B27001_014,B27001_016,B27001_017,B27001_019,B27001_020,B27001_022,B27001_023,B27001_025,B27001_026,B27001_028,B27001_029,B27001_032,B27001_033,B27001_035,B27001_036,B27001_038,B27001_039,B27001_041,B27001_042,B27001_044,B27001_045,B27001_047,B27001_048,B27001_050,B27001_051,B27001_053,B27001_054,B27001_056,B27001_057
15,54995,1125,98562,3207,52312,7891,79854,12142,75528,6831,81146,7122,81816,5959,56816,474,38698,235,51387,1396,93932,3294,53557,5430,86839,7254,79063,5326,84780,5822,85188,5493,60978,895,56678,325
16,66184,4604,136385,12649,57401,19836,74589,29044,74892,22899,78313,19969,83407,12503,63655,414,38633,110,63886,4598,128010,12599,58865,16575,78966,24155,75750,21076,83033,17798,83884,15357,65756,469,49421,139
17,479262,12743,1006727,40353,482287,134031,648167,218799,665555,156244,742459,129076,677289,82560,431844,5889,285124,2063,461216,13128,969659,36570,515428,93635,744620,140459,725459,118060,794281,114314,727735,90043,502906,7227,435571,3441
18,241664,18075,505746,43810,255338,74975,296742,108780,322851,79309,372367,67739,358406,40923,234945,1431,148022,436,230388,18946,482593,41749,266344,58550,327261,89017,339571,71868,390375,64911,378393,45673,267514,1452,222102,698
19,117507,4109,237971,10623,138433,22195,161407,33183,159093,21559,186584,18525,185490,12302,116769,432,84735,135,112359,3981,228423,9429,136977,16890,165936,24191,162534,16739,189899,16121,189265,11330,128383,626,124641,331
20,118220,6257,228681,15616,118714,29476,141264,44067,137746,30351,158682,24645,156984,16154,100550,565,69994,240,113059,5021,220645,14635,117297,24395,149577,37100,142110,27616,166037,23329,162997,17496,111129,878,102067,278
21,163175,8141,327947,20013,160136,47577,198050,68663,220147,49656,256771,41571,248763,24559,169878,528,98674,291,155439,7392,314106,17519,167401,38585,224376,55259,237070,43088,274038,38695,266213,27559,193076,804,146716,362
22,183077,7392,354719,21306,157150,66874,206287,97127,196430,67302,233591,58673,235192,37687,159973,1273,96014,415,174578,8548,342541,20699,178096,53227,242487,85175,221732,63143,255970,62249,252676,46395,186673,1585,145184,682
23,38396,2237,88216,5257,46375,10982,55292,17183,63633,13193,85252,14547,88158,10238,63010,151,39615,47,36724,2046,83462,5404,48145,7532,64646,11143,71404,9008,91787,12637,94664,10218,67848,171,56167,36
24,218888,7261,440633,19165,229283,43452,299347,84940,305291,56835,370318,47170,323455,28109,201948,2764,126169,937,210359,6888,424202,19259,240337,33030,351955,56328,355771,41963,419910,39909,366559,28947,238434,4461,190803,1654
25,221621,2987,479724,7239,318098,24420,396887,44843,382169,25526,456651,23152,400007,13318,242270,1300,163584,450,212513,3119,460011,7053,332676,16072,437348,21142,418000,15343,494222,15715,438494,12396,283332,1398,254198,490
