 FIPS,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000",Average Annual Count,Recent Trend
16073,40.7,5,stable
16075,64.8,18,stable
16077,41.4,3,*
16079,98.7,20,stable
16081,* ,3 or fewer,*
16083,53.4,47,stable
16085,41.3,6,stable
16087,68.3,11,stable
17001,74.1,68,stable
17003,93.5,11,stable
17005,70.2,15,stable
17007,66.3,36,stable
17009,81.4,6,stable
17011,69.6,34,stable
17013,81.4,6,stable
17015,54,14,stable
17017,89.7,15,stable
17019,62.4,107,stable
17021,94.1,45,stable
17023,75.5,17,stable
17025,79.5,15,stable
17027,63.6,29,stable
17029,80.4,48,stable
17031,63.4,3359,falling
17033,88.9,24,stable
17035,89.1,13,stable
17037,72.8,63,stable
17039,94.3,21,stable
17041,66.3,17,stable
17043,56.1,529,falling
17045,76.6,20,stable
17047,88.7,9,stable
17049,67.5,29,stable
17051,58,16,stable
17053,66.8,14,stable
17055,103.4,59,stable
17057,74.9,38,stable
17059,87.9,8,falling
17061,72.7,14,stable
17063,90,45,stable
17065,85.2,11,stable
17067,74.4,21,stable
17069,90.3,6,stable
17071,78.2,9,stable
17073,74.9,52,stable
17075,72,31,stable
17077,69,41,stable
17079,67.3,9,stable
17081,92.7,46,falling
17083,78.7,23,stable
17085,55.9,22,stable
17087,83.6,15,stable
17089,58.9,266,stable
17091,73.6,94,stable
17093,54.6,45,stable
17095,69.1,53,stable
17097,58.2,379,stable
17099,76.4,113,stable
17101,88.2,19,stable
17103,66.9,31,falling
17105,81.6,40,stable
17107,90.7,34,stable
17109,63.1,23,stable
17111,65.3,185,falling
17113,64.1,97,stable
17115,96.6,140,falling
17117,79.5,52,stable
17119,83.5,265,falling
17121,91.5,49,stable
17123,58.5,12,stable
17125,92.3,20,stable
17127,100.9,22,stable
17129,75.9,13,stable
17131,76.7,19,stable
17133,60.9,24,stable
17135,86.5,34,stable
17137,77.6,36,stable
17139,56.9,11,stable
17141,66.7,45,stable
17143,84,180,stable
17145,74.4,21,stable
17147,79.8,18,stable
17149,68.4,17,stable
17151,105.5,7,falling
17153,113.1,10,stable
17155,73.5,7,stable
17157,78.6,33,stable
17159,81.6,19,rising
17161,66.8,127,stable
17163,75.8,219,stable
17165,91.8,33,stable
17167,77.6,183,stable
17169,82.9,9,stable
17171,83.2,6,stable
17173,77.1,25,stable
17175,77.3,7,stable
17177,63.8,43,stable
17179,87.2,151,falling
17181,102.7,26,stable
17183,86.4,92,stable
17185,91.6,15,falling
17187,74,17,stable
17189,74.1,15,stable
17191,89.2,22,stable
17193,81.2,18,falling
17195,71.8,57,stable
17197,72,414,falling
17199,97.5,85,stable
17201,74,252,stable
17203,61,29,stable
18001,50.2,19,rising
18003,61.9,227,stable
18005,77.8,69,stable
18007,82.7,9,stable
18009,74.9,13,stable
18011,67,39,stable
18013,61.8,14,stable
18015,66.1,17,stable
18017,89.5,42,stable
18019,88.1,107,stable
18021,73.8,25,stable
18023,76.2,29,stable
18025,94.6,13,stable
18027,62.8,23,stable
18029,82.3,48,stable
18031,69.6,21,stable
18033,68.5,33,stable
18035,79.9,108,stable
18037,55,28,stable
18039,70.2,144,stable
18041,87.4,29,stable
18043,79.3,67,stable
18045,82.3,20,stable
18047,64.7,18,stable
18049,83.8,23,stable
18051,70,29,stable
18053,85.5,78,stable
18055,81.1,35,stable
18057,46.7,102,stable
18059,83.1,65,stable
18061,90.7,43,rising
18063,69.9,98,falling
18065,76.6,49,stable
18067,75,81,stable
18069,65,29,stable
18071,81.4,42,stable
18073,85.6,33,stable
18075,68.9,18,stable
18077,81.7,32,stable
18079,97.9,30,stable
18081,67.9,101,stable
18083,76,37,stable
18085,71.6,64,stable
18087,56.4,21,stable
18089,74,412,stable
18091,77.2,103,stable
18093,89.5,55,stable
18095,81.8,133,stable
18097,79.7,682,stable
18099,67.1,39,stable
18101,71.5,10,stable
18103,77.1,34,stable
18105,66.9,81,stable
18107,70,33,stable
18109,83.9,65,stable
18111,75.3,15,stable
18113,69,35,stable
18115,123.2,10,stable
18117,85.4,22,stable
18119,85,24,stable
18121,75.1,17,stable
18123,101.2,24,stable
18125,66.6,12,stable
18127,73.6,133,stable
18129,60.3,19,stable
18131,71.1,13,stable
18133,95.1,41,stable
18135,83.1,29,stable
18137,75.6,27,stable
18139,80.8,18,stable
18141,71.5,212,falling
18143,91.8,26,stable
18145,81.8,43,stable
18147,77.9,21,stable
18149,93.5,29,stable
18151,71,31,rising
18153,81.8,22,stable
18155,84.7,11,stable
18157,64,91,stable
18159,73.3,16,stable
18161,65.2,7,stable
18163,79.6,169,stable
18165,92.6,20,stable
18167,80.4,96,stable
18169,64.3,28,stable
18171,66,7,falling
18173,66.7,47,stable
18175,96.2,33,stable
18177,85.2,77,stable
18179,52.4,19,stable
18181,76.2,26,stable
18183,63.8,26,stable
19001,65.2,8,stable
19003,68.9,4,stable
19005,39.9,9,stable
19007,78.5,15,rising
19009,42.4,4,stable
19011,67.5,22,stable
19013,72.5,108,stable
19015,61.3,21,stable
19017,41.6,14,stable
19019,82.8,21,stable
19021,40.9,10,stable
19023,45.4,10,stable
19025,54.6,9,stable
19027,60.8,18,stable
19029,73.2,15,stable
19031,66.5,16,stable
19033,65.8,43,stable
19035,47.6,10,stable
19037,52.9,10,stable
19039,70.6,9,rising
19041,57.8,13,stable
19043,60.3,16,stable
19045,64.1,42,stable
19047,54.8,12,stable
19049,61.6,38,stable
19051,53.6,6,stable
19053,65,7,stable
19055,38.4,9,stable
19057,86.7,49,stable
19059,59.6,18,stable
19061,59.4,70,falling
19063,69.8,10,stable
19065,59.9,19,stable
19067,65.7,16,stable
19069,54.7,8,rising
19071,76.2,8,stable
19073,63.7,9,rising
19075,48.7,9,stable
19077,55.6,9,stable
19079,64.7,14,stable
19081,58.8,9,stable
